InventoryID,StoreID,ProductID,CurrentStock,ReorderLevel,MaximumStock,LastRestockedDate,LastModifiedDate,IsActive
INV000001,STR0001,79323GR,125,61,429,2026-06-07,2026-07-05 19:34:40.487493,True
INV000002,STR0001,15056P,79,78,665,2026-04-13,2026-07-05 19:34:40.487567,True
INV000003,STR0001,85126,444,46,675,2026-04-12,2026-07-05 19:34:40.487633,True
INV000004,STR0001,23160,360,38,618,2026-04-12,2026-07-05 19:34:40.487682,True
INV000005,STR0001,22207,79,56,336,2026-06-11,2026-07-05 19:34:40.487728,True
INV000006,STR0001,22509,191,26,418,2026-04-22,2026-07-05 19:34:40.487771,True
INV000007,STR0001,84849A,313,51,455,2026-06-20,2026-07-05 19:34:40.487814,True
INV000008,STR0001,35809a,386,36,477,2026-07-04,2026-07-05 19:34:40.487860,True
INV000009,STR0001,21189,116,54,587,2026-05-17,2026-07-05 19:34:40.487900,True
INV000010,STR0001,21801,265,29,458,2026-02-09,2026-07-05 19:34:40.487940,True
INV000011,STR0001,85071D,331,27,579,2026-04-13,2026-07-05 19:34:40.487980,True
INV000012,STR0001,90133,106,69,420,2026-02-08,2026-07-05 19:34:40.488018,True
INV000013,STR0001,21967,372,50,429,2026-02-24,2026-07-05 19:34:40.488057,True
INV000014,STR0001,37491D,670,57,689,2026-02-05,2026-07-05 19:34:40.488096,True
INV000015,STR0001,23137,358,76,414,2026-05-27,2026-07-05 19:34:40.488135,True
INV000016,STR0001,22637,275,53,609,2026-01-10,2026-07-05 19:34:40.488173,True
INV000017,STR0001,21701,306,59,358,2026-06-20,2026-07-05 19:34:40.488257,True
INV000018,STR0001,85034C,237,28,394,2026-01-20,2026-07-05 19:34:40.488347,True
INV000019,STR0001,20870,559,46,627,2026-07-03,2026-07-05 19:34:40.488397,True
INV000020,STR0001,37399,46,26,578,2026-05-26,2026-07-05 19:34:40.488438,True
INV000021,STR0001,23554,37,36,604,2026-01-25,2026-07-05 19:34:40.488477,True
INV000022,STR0001,85040a,110,39,379,2026-02-17,2026-07-05 19:34:40.488516,True
