ProductID,ProductName,Category,SubCategory,Brand,Supplier,CostPrice,SellingPrice,LaunchDate,LastModifiedDate,IsActive
10002,INFLATABLE POLITICAL GLOBE ,Home,Storage,NovaRetail,Retail Wholesale Ltd,0.72,0.98,2020-01-01,2026-07-05 18:58:26.018427,True
10080,GROOVY CACTUS INFLATABLE,Home,Decor,UrbanHome,Global Traders,0.37,0.51,2020-01-01,2026-07-05 18:58:26.018497,True
10109,BENDY COLOUR PENCILS,Electronics,Batteries,NovaRetail,ABC Supplies,0.3,0.42,2020-01-01,2026-07-05 18:58:26.018544,True
10120,DOGGY RUBBER,Electronics,Batteries,UrbanHome,UK Imports,0.18,0.24,2020-01-01,2026-07-05 18:58:26.018586,True
10125,MINI FUNKY DESIGN TAPES,Gift,Seasonal,NovaRetail,Global Traders,0.71,0.93,2020-01-01,2026-07-05 18:58:26.018625,True
10133,COLOURING PENCILS BROWN TUBE,Gift,Seasonal,NovaRetail,Prime Distribution,0.58,0.75,2020-01-01,2026-07-05 18:58:26.018664,True
10134,COLOURING PENCILS BROWN TUBE,Home,Storage,RetailPlus,Retail Wholesale Ltd,1.16,1.29,2020-01-01,2026-07-05 18:58:26.018702,True
10135,COLOURING PENCILS BROWN TUBE,Gift,Seasonal,UrbanHome,Prime Distribution,1.14,1.41,2020-01-01,2026-07-05 18:58:26.018738,True
10138,ASSORTED COLOUR JUMBO PEN,Electronics,Batteries,NovaRetail,UK Imports,0.43,0.49,2020-01-01,2026-07-05 18:58:26.018775,True
11001,ASSTD DESIGN RACING CAR PEN,Gift,Seasonal,NovaRetail,Retail Wholesale Ltd,1.52,1.87,2020-01-01,2026-07-05 18:58:26.018813,True
15030,FAN BLACK FRAME ,Home,Storage,PrimeGoods,Global Traders,0.22,0.29,2020-01-01,2026-07-05 18:58:26.018850,True
15034,PAPER POCKET TRAVELING FAN ,Home,Storage,RetailPlus,UK Imports,0.28,0.35,2020-01-01,2026-07-05 18:58:26.018886,True
15036,ASSORTED COLOURS SILK FAN,Home,Storage,RetailPlus,Prime Distribution,0.86,0.99,2020-01-01,2026-07-05 18:58:26.018922,True
15039,SANDALWOOD FAN,Gift,Souvenirs,NovaRetail,UK Imports,0.96,1.14,2020-01-01,2026-07-05 18:58:26.018956,True
16008,SMALL FOLDING SCISSOR(POINTED EDGE),Gift,Seasonal,UrbanHome,Prime Distribution,0.12,0.16,2020-01-01,2026-07-05 18:58:26.018990,True
16010,FOLDING CAMPING SCISSOR W/KNIF & S,Gift,Cards,SmartLiving,Global Traders,0.11,0.12,2020-01-01,2026-07-05 18:58:26.019023,True
16011,ANIMAL STICKERS,Gift,Cards,UrbanHome,Retail Wholesale Ltd,0.18,0.21,2020-01-01,2026-07-05 18:58:26.019056,True
16012,FOOD/DRINK SPONGE STICKERS,Electronics,Accessories,NovaRetail,Prime Distribution,0.17,0.21,2020-01-01,2026-07-05 18:58:26.019090,True
16014,SMALL CHINESE STYLE SCISSOR,Gift,Cards,PrimeGoods,ABC Supplies,0.34,0.4,2020-01-01,2026-07-05 18:58:26.019123,True
16015,MEDIUM CHINESE STYLE SCISSOR,Electronics,Batteries,PrimeGoods,Retail Wholesale Ltd,0.43,0.49,2020-01-01,2026-07-05 18:58:26.019157,True
16016,LARGE CHINESE STYLE SCISSOR,Home,Decor,RetailPlus,ABC Supplies,0.68,0.84,2020-01-01,2026-07-05 18:58:26.019191,True
16033,MINI HIGHLIGHTER PENS,Office,Stationery,PrimeGoods,Retail Wholesale Ltd,0.09,0.12,2020-01-01,2026-07-05 18:58:26.019225,True
16043,POP ART PUSH DOWN RUBBER ,Office,Desk,RetailPlus,Retail Wholesale Ltd,0.23,0.31,2020-01-01,2026-07-05 18:58:26.019258,True
16044,POP-ART FLUORESCENT PENS,Office,Desk,RetailPlus,UK Imports,0.23,0.3,2020-01-01,2026-07-05 18:58:26.019292,True
16045,POPART WOODEN PENCILS ASST,Electronics,Lighting,UrbanHome,Prime Distribution,0.04,0.05,2020-01-01,2026-07-05 18:58:26.019326,True
16046,TEATIME PEN CASE & PENS,Gift,Souvenirs,RetailPlus,Prime Distribution,0.76,0.92,2020-01-01,2026-07-05 18:58:26.019359,True
16047,POP ART PEN CASE & PENS,Home,Decor,NovaRetail,Prime Distribution,0.71,0.93,2020-01-01,2026-07-05 18:58:26.019420,True
16048,TEATIME ROUND PENCIL SHARPENER ,Office,Stationery,UrbanHome,Prime Distribution,0.28,0.4,2020-01-01,2026-07-05 18:58:26.019458,True
16049,TEATIME GEL PENS ASST,Home,Decor,PrimeGoods,Prime Distribution,0.33,0.38,2020-01-01,2026-07-05 18:58:26.019492,True
16050,TEATIME PENCIL WITH RUBBER,Home,Storage,SmartLiving,Global Traders,0.32,0.4,2020-01-01,2026-07-05 18:58:26.019525,True
16051,TEATIME PENCIL W STAMP ASST,Home,Storage,SmartLiving,Prime Distribution,0.33,0.43,2020-01-01,2026-07-05 18:58:26.019558,True
16052,TEATIME PUSH DOWN RUBBER,Electronics,Lighting,RetailPlus,UK Imports,0.43,0.57,2020-01-01,2026-07-05 18:58:26.019590,True
16053,POPART COL BALLPOINT PEN ASST,Home,Kitchen,SmartLiving,ABC Supplies,0.14,0.16,2020-01-01,2026-07-05 18:58:26.019624,True
16054,POPART RECT PENCIL SHARPENER ASST,Home,Storage,UrbanHome,UK Imports,0.15,0.17,2020-01-01,2026-07-05 18:58:26.019658,True
16119,FUNKY GIRL ADDRESS BOOK,Office,Organization,RetailPlus,Global Traders,0.83,1.03,2020-01-01,2026-07-05 18:58:26.019692,True
16192,PINK BALLET OPENING CUBE BOX ,Gift,Souvenirs,NovaRetail,Prime Distribution,3.68,4.3,2020-01-01,2026-07-05 18:58:26.019726,True
16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,Electronics,Lighting,PrimeGoods,Global Traders,1.13,1.61,2020-01-01,2026-07-05 18:58:26.019759,True
16215,FUNKY GIRLZ MAGNETIC TO DO LIST ,Electronics,Accessories,UrbanHome,Retail Wholesale Ltd,0.49,0.65,2020-01-01,2026-07-05 18:58:26.019794,True
16216,LETTER SHAPE PENCIL SHARPENER,Home,Storage,PrimeGoods,Retail Wholesale Ltd,0.16,0.22,2020-01-01,2026-07-05 18:58:26.019828,True
16218,CARTOON  PENCIL SHARPENERS,Office,Organization,PrimeGoods,Retail Wholesale Ltd,0.45,0.5,2020-01-01,2026-07-05 18:58:26.019861,True
16219,HOUSE SHAPE PENCIL SHARPENER,Office,Desk,RetailPlus,ABC Supplies,0.46,0.56,2020-01-01,2026-07-05 18:58:26.019894,True
16225,RATTLE SNAKE EGGS,Home,Decor,PrimeGoods,Retail Wholesale Ltd,1.44,1.61,2020-01-01,2026-07-05 18:58:26.019928,True
16235,RECYCLED PENCIL WITH RABBIT ERASER,Gift,Souvenirs,PrimeGoods,Retail Wholesale Ltd,0.25,0.31,2020-01-01,2026-07-05 18:58:26.019961,True
16236,KITTY PENCIL ERASERS,Home,Kitchen,RetailPlus,Global Traders,0.22,0.31,2020-01-01,2026-07-05 18:58:26.019994,True
16237,SLEEPING CAT ERASERS,Gift,Cards,NovaRetail,UK Imports,0.25,0.3,2020-01-01,2026-07-05 18:58:26.020027,True
16238,PARTY TIME PENCIL ERASERS,Electronics,Lighting,NovaRetail,Prime Distribution,0.28,0.31,2020-01-01,2026-07-05 18:58:26.020071,True
16239,BALLERINA HEART DECORATION.,Electronics,Accessories,UrbanHome,Retail Wholesale Ltd,2.22,2.66,2020-01-01,2026-07-05 18:58:26.020107,True
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,Office,Stationery,PrimeGoods,Global Traders,1.05,1.27,2020-01-01,2026-07-05 18:58:26.020141,True
16259,PIECE OF CAMO STATIONERY SET,Gift,Souvenirs,SmartLiving,Global Traders,0.12,0.15,2020-01-01,2026-07-05 18:58:26.020174,True
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,Office,Stationery,PrimeGoods,Retail Wholesale Ltd,0.25,0.28,2020-01-01,2026-07-05 18:58:26.020207,True
17003,BROCADE RING PURSE ,Gift,Seasonal,RetailPlus,Prime Distribution,0.52,0.66,2020-01-01,2026-07-05 18:58:26.020239,True
17021,NAMASTE SWAGAT INCENSE,Electronics,Accessories,PrimeGoods,ABC Supplies,0.25,0.3,2020-01-01,2026-07-05 18:58:26.020272,True
17033,"BROCADE PURSE,SMALL ARCH BUTTON",Office,Organization,SmartLiving,Prime Distribution,0.23,0.29,2020-01-01,2026-07-05 18:58:26.020305,True
17038,PORCELAIN BUDAH INCENSE HOLDER,Gift,Souvenirs,RetailPlus,Prime Distribution,0.38,0.42,2020-01-01,2026-07-05 18:58:26.020338,True
17039,INLAID WOOD INCENSE HOLDER,Home,Storage,RetailPlus,UK Imports,0.32,0.38,2020-01-01,2026-07-05 18:58:26.020372,True
17061,ASSORTED SHAPED STENCIL FOR HENNA,Gift,Cards,NovaRetail,Prime Distribution,0.03,0.04,2020-01-01,2026-07-05 18:58:26.020433,True
17096,ASSORTED LAQUERED INCENSE HOLDERS,Electronics,Accessories,UrbanHome,Retail Wholesale Ltd,0.27,0.32,2020-01-01,2026-07-05 18:58:26.020468,True
17174,ASSTD RASTA KEY-CHAINS,Gift,Souvenirs,UrbanHome,Prime Distribution,0.3,0.42,2020-01-01,2026-07-05 18:58:26.020515,True
17178,FLAT PALM T-LIGHT HOLDER,Home,Decor,RetailPlus,Retail Wholesale Ltd,0.96,1.23,2020-01-01,2026-07-05 18:58:26.020548,True
17181,CIRCLE OF FRIENDS CANDLE HOLDER,Gift,Seasonal,UrbanHome,Global Traders,2.79,3.75,2020-01-01,2026-07-05 18:58:26.020581,True
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,Electronics,Lighting,PrimeGoods,Prime Distribution,0.17,0.24,2020-01-01,2026-07-05 18:58:26.020614,True
18010,ASSORTED FRAGRANCE BATH CONFETTI,Electronics,Batteries,SmartLiving,Global Traders,0.41,0.56,2020-01-01,2026-07-05 18:58:26.020647,True
20615,BLUE POLKADOT PASSPORT COVER,Office,Desk,PrimeGoods,ABC Supplies,2.25,2.65,2020-01-01,2026-07-05 18:58:26.020680,True
20616,CHERRY BLOSSOM PASSPORT COVER,Gift,Souvenirs,NovaRetail,ABC Supplies,1.9,2.13,2020-01-01,2026-07-05 18:58:26.020714,True
20617,FIRST CLASS PASSPORT COVER ,Home,Storage,NovaRetail,ABC Supplies,2.03,2.42,2020-01-01,2026-07-05 18:58:26.020747,True
20618,QUEEN OF THE SKIES PASSPORT COVER ,Gift,Souvenirs,NovaRetail,UK Imports,2.03,2.28,2020-01-01,2026-07-05 18:58:26.020781,True
20619,TROPICAL PASSPORT COVER ,Gift,Seasonal,SmartLiving,Retail Wholesale Ltd,1.85,2.35,2020-01-01,2026-07-05 18:58:26.020815,True
20620,RED SPOTTY PASSPORT COVER,Gift,Cards,SmartLiving,Prime Distribution,3.41,4.1,2020-01-01,2026-07-05 18:58:26.020847,True
20621,ECONOMY PASSPORT COVER ,Gift,Cards,PrimeGoods,Global Traders,2.06,2.35,2020-01-01,2026-07-05 18:58:26.020879,True
20622,VIP PASSPORT COVER ,Home,Decor,NovaRetail,Prime Distribution,2.0,2.67,2020-01-01,2026-07-05 18:58:26.020912,True
20652,BLUE POLKADOT LUGGAGE TAG ,Office,Desk,RetailPlus,Prime Distribution,1.03,1.41,2020-01-01,2026-07-05 18:58:26.020945,True
20653,CHERRY BLOSSOM LUGGAGE TAG,Gift,Seasonal,UrbanHome,ABC Supplies,1.23,1.41,2020-01-01,2026-07-05 18:58:26.020978,True
20654,FIRST CLASS LUGGAGE TAG ,Office,Stationery,NovaRetail,UK Imports,1.2,1.38,2020-01-01,2026-07-05 18:58:26.021010,True
20655,QUEEN OF SKIES LUGGAGE TAG,Office,Organization,NovaRetail,Prime Distribution,1.25,1.7,2020-01-01,2026-07-05 18:58:26.021045,True
20657,TROPICAL LUGGAGE TAG,Home,Storage,SmartLiving,Global Traders,0.97,1.32,2020-01-01,2026-07-05 18:58:26.021078,True
20658,RED RETROSPOT LUGGAGE TAG,Home,Storage,RetailPlus,ABC Supplies,1.43,1.67,2020-01-01,2026-07-05 18:58:26.021111,True
20659,ECONOMY LUGGAGE TAG,Gift,Seasonal,RetailPlus,Retail Wholesale Ltd,1.13,1.56,2020-01-01,2026-07-05 18:58:26.021144,True
20660,VIP LUGGAGE TAG ,Electronics,Accessories,RetailPlus,ABC Supplies,0.92,1.25,2020-01-01,2026-07-05 18:58:26.021178,True
20661,BLUE POLKADOT PURSE ,Electronics,Accessories,RetailPlus,UK Imports,2.16,2.98,2020-01-01,2026-07-05 18:58:26.021211,True
20662,FIRST CLASS HOLIDAY PURSE ,Electronics,Accessories,NovaRetail,Global Traders,2.01,2.66,2020-01-01,2026-07-05 18:58:26.021244,True
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,Gift,Souvenirs,SmartLiving,UK Imports,2.18,2.53,2020-01-01,2026-07-05 18:58:26.021277,True
20664,TROPICAL HOLIDAY PURSE ,Gift,Seasonal,SmartLiving,Prime Distribution,2.18,2.71,2020-01-01,2026-07-05 18:58:26.021310,True
20665,RED RETROSPOT PURSE ,Home,Kitchen,UrbanHome,UK Imports,3.09,3.82,2020-01-01,2026-07-05 18:58:26.021344,True
20666,ECONOMY HOLIDAY PURSE,Electronics,Lighting,UrbanHome,Global Traders,2.12,2.36,2020-01-01,2026-07-05 18:58:26.021401,True
20667,CHERRY BLOSSOM PURSE,Gift,Cards,UrbanHome,Retail Wholesale Ltd,2.35,2.64,2020-01-01,2026-07-05 18:58:26.021440,True
20668,DISCO BALL CHRISTMAS DECORATION,Home,Kitchen,UrbanHome,UK Imports,0.12,0.17,2020-01-01,2026-07-05 18:58:26.021474,True
20669,RED HEART LUGGAGE TAG,Gift,Cards,SmartLiving,Prime Distribution,1.13,1.6,2020-01-01,2026-07-05 18:58:26.021507,True
20670,VIP HOLIDAY PURSE,Gift,Cards,UrbanHome,Global Traders,2.23,2.81,2020-01-01,2026-07-05 18:58:26.021540,True
20671,BLUE TEATIME PRINT BOWL ,Electronics,Accessories,PrimeGoods,UK Imports,1.27,1.57,2020-01-01,2026-07-05 18:58:26.021573,True
20672,PINK TEATIME PRINT BOWL,Electronics,Accessories,PrimeGoods,Prime Distribution,1.55,1.75,2020-01-01,2026-07-05 18:58:26.021606,True
20673,STRAWBERRIES PRINT BOWL,Gift,Souvenirs,UrbanHome,UK Imports,0.97,1.25,2020-01-01,2026-07-05 18:58:26.021640,True
20674,GREEN POLKADOT BOWL,Electronics,Accessories,PrimeGoods,Retail Wholesale Ltd,1.2,1.5,2020-01-01,2026-07-05 18:58:26.021673,True
20675,BLUE POLKADOT BOWL,Home,Decor,PrimeGoods,UK Imports,1.34,1.5,2020-01-01,2026-07-05 18:58:26.021706,True
20676,RED RETROSPOT BOWL,Gift,Souvenirs,PrimeGoods,Retail Wholesale Ltd,1.11,1.55,2020-01-01,2026-07-05 18:58:26.021740,True
20677,PINK POLKADOT BOWL,Gift,Cards,RetailPlus,Global Traders,1.14,1.58,2020-01-01,2026-07-05 18:58:26.021773,True
20678,LARGE BLACK DIAMANTE HAIRSLIDE,Home,Kitchen,UrbanHome,Retail Wholesale Ltd,1.18,1.65,2020-01-01,2026-07-05 18:58:26.021807,True
20679,EDWARDIAN PARASOL RED,Gift,Seasonal,RetailPlus,Global Traders,5.58,6.66,2020-01-01,2026-07-05 18:58:26.021840,True
20680,PINK FLOWERS CHILDS UMBRELLA,Gift,Cards,RetailPlus,ABC Supplies,2.81,3.25,2020-01-01,2026-07-05 18:58:26.021873,True
20681,PINK POLKADOT CHILDRENS UMBRELLA,Office,Organization,UrbanHome,ABC Supplies,3.03,3.85,2020-01-01,2026-07-05 18:58:26.021905,True
20682,RED RETROSPOT CHILDRENS UMBRELLA,Gift,Seasonal,NovaRetail,UK Imports,2.89,3.87,2020-01-01,2026-07-05 18:58:26.021938,True
20683,RAIN GIRL CHILDS UMBRELLA,Electronics,Lighting,UrbanHome,ABC Supplies,2.63,3.25,2020-01-01,2026-07-05 18:58:26.021972,True
20684,STRAWBERRY DREAM CHILDS UMBRELLA,Office,Organization,NovaRetail,UK Imports,3.19,3.62,2020-01-01,2026-07-05 18:58:26.022005,True
20685,DOORMAT RED RETROSPOT,Office,Desk,RetailPlus,Global Traders,7.41,8.4,2020-01-01,2026-07-05 18:58:26.022037,True
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,Home,Kitchen,PrimeGoods,Prime Distribution,2.84,3.73,2020-01-01,2026-07-05 18:58:26.022085,True
20688,BEAUTY SPEED EXPRESSO CUPS,Electronics,Accessories,UrbanHome,ABC Supplies,4.46,6.0,2020-01-01,2026-07-05 18:58:26.022121,True
20689,RETRO SISTERS EXPRESSO CUPS,Office,Organization,SmartLiving,Global Traders,4.39,6.07,2020-01-01,2026-07-05 18:58:26.022156,True
